APN,Registered Date,Property Type,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone,lon,lat,Property on map
2654007151,09/17/2021 12:00:00 AM,Single Family,8744 N BURNET AVE,LOS ANGELES,CA,91343,6,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.46314,34.22944,POINT (-118.46314 34.22944)
4244002028,10/29/2021 12:00:00 AM,Single Family,2372 W DEWEY ST,LOS ANGELES,CA,90291,11,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.457,34.0094,POINT (-118.457 34.0094)
2872020012,03/25/2021 12:00:00 AM,Single Family,18568 W CALLE VISTA CIR,LOS ANGELES,CA,91326,12,Mr. Cooper,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.53775,34.28301,POINT (-118.53775 34.28301)
5211002015,11/08/2021 12:00:00 AM,Single Family,2111 N THOMAS ST,LOS ANGELES,CA,90031,14,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.20525,34.06945,POINT (-118.20525 34.06945)
5063015001,12/06/2021 12:00:00 AM,Single Family,2355 S DUNSMUIR AVE,LOS ANGELES,CA,90016,10,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.3585,34.03574,POINT (-118.3585 34.03574)
5435035007,03/01/2021 12:00:00 AM,Single Family,3836 W VALLEYBRINK ROAD,LOS ANGELES,CA,90039,13,JRM Financial LLC,Angela Carroll,310-395-0010,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.26732,34.1202,POINT (-118.26732 34.1202)
5023014028,12/13/2021 12:00:00 AM,Single Family,4250 S 9TH AVE,LOS ANGELES,CA,90008,10,Steven Reitzfeld c/o RESS Financial Corporation,Bruce Beasley,951-270-0164,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.32656,34.00599,POINT (-118.32656 34.00599)
2246024026,01/04/2021 12:00:00 AM,Multi-Family,5727 N WOODMAN AVE,LOS ANGELES,CA,91401,2,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.43144,34.17468,POINT (-118.43144 34.17468)
2214022019,01/28/2021 12:00:00 AM,Single Family,7733 N CHERRYSTONE AVE,LOS ANGELES,CA,91402,6,CARRINGTON MTG LLC,Carrington LLC,866-439-8491,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863,-118.43478,34.21071,POINT (-118.43478 34.21071)
4369037006,01/21/2021 12:00:00 AM,Single Family,1126 N CHANTILLY RD,LOS ANGELES,CA,90077,5,Allstar Financial Services Inc,Sumana Sur,818-346-7827,NULL,NULL,,NULL,-118.45714,34.09306,POINT (-118.45714 34.09306)
2712005004,01/08/2021 12:00:00 AM,Single Family,17441 W LUDLOW ST,LOS ANGELES,CA,91344,12,Nationstar Mortgage,Code Violations,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.51455,34.27106,POINT (-118.51455 34.27106)
2275030004,01/11/2021 12:00:00 AM,Single Family,3731 N BEVERLY GLEN BLVD,LOS ANGELES,CA,91423,4,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.45052,34.13886,POINT (-118.45052 34.13886)
5422018017,03/08/2021 12:00:00 AM,Multi-Family,2247 W DUANE ST,LOS ANGELES,CA,90039,13,Ami Kimoto,Lin Dee Liu,510-579-3378,Kristen Nakada Management,Kristen Nakada,7946   West Lawn Ave   Los Angeles CA 90045,510-520-7093,-118.26061,34.09069,POINT (-118.26061 34.09069)
4431027046,01/15/2021 12:00:00 AM,Single Family,2008 N PALISADES DR,LOS ANGELES,CA,90272,11,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.5545,34.07437,POINT (-118.5545 34.07437)
2024026025,04/06/2021 12:00:00 AM,Single Family,22531 W SCHOOLCRAFT ST,LOS ANGELES,CA,91307,12,PHH Mortgage/Ocwen Financial Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.61783,34.19618,POINT (-118.61783 34.19618)
5528003185,11/09/2021 12:00:00 AM,Single Family,750 N KINGS,LOS ANGELES,CA,90069,5,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.37159,34.08469,POINT (-118.37159 34.08469)
7562022027,02/02/2021 12:00:00 AM,Single Family,2128 W MCRAE DR,SAN PEDRO,CA,90732,15,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.32172,33.72679,POINT (-118.32172 33.72679)
2028012015,05/12/2021 12:00:00 AM,Single Family,23601 W VANOWEN ST,LOS ANGELES,CA,91307,12,Gregory Funding,Gregory Funding,866-712-5698,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.64051,34.19337,POINT (-118.64051 34.19337)
5015016020,01/07/2021 12:00:00 AM,Multi-Family,4421 S WILTON PL,LOS ANGELES,CA,90062,8,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.31507,34.00307,POINT (-118.31507 34.00307)
2536012012,07/29/2021 12:00:00 AM,Single Family,12308 W GLAMIS ST,LOS ANGELES,CA,91331,7,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.40142,34.26849,POINT (-118.40142 34.26849)
2146002151,01/05/2021 12:00:00 AM,Single Family,22231  ERWIN ST,LOS ANGELES,CA,91367,3,Cenlar FSB,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.61051,34.18459,POINT (-118.61051 34.18459)
5185038010,04/12/2021 12:00:00 AM,Multi-Family,809 S EUCLID AVE,LOS ANGELES,CA,90023,14,Good Deeds Inc,Richard Harmon,714-906-4011,Good Deeds Inc,Richard Harmon,700  E Birch ST  Brea CA 92822,714-572-2400,-118.2071,34.03127,POINT (-118.2071 34.03127)
5577010141,02/16/2021 12:00:00 AM,Single Family,2700  CAHUENGA BLVD E,LOS ANGELES,CA,90068,4,Rushmore Loan Management Services,Enrique Orozco,949-341-5675,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.33687,34.11804,POINT (-118.33687 34.11804)
2685010007,01/07/2021 12:00:00 AM,Single Family,10021 N HAYVENHURST AVE,LOS ANGELES,CA,91343,12,CALIBER HOME LOANS,SHIRIN SHAHIDI,858-683-8430,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.49381,34.25274,POINT (-118.49381 34.25274)
2513005014,03/11/2021 12:00:00 AM,Single Family,12874 N BROMONT AVE,LOS ANGELES,CA,91340,7,Mr. Cooper LLC,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.43027,34.30463,POINT (-118.43027 34.30463)
5523006022,01/06/2021 12:00:00 AM,Single Family,652 N CAHUENGA BLVD,LOS ANGELES,CA,90004,5,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.32869,34.083,POINT (-118.32869 34.083)
2310012036,06/10/2021 12:00:00 AM,Single Family,12006 W CANTARA ST,LOS ANGELES,CA,91605,6,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.39467,34.21924,POINT (-118.39467 34.21924)
5177008019,02/15/2021 12:00:00 AM,Multi-Family,2521 E GANAHL ST,LOS ANGELES,CA,90033,14,Home Point Financial,Robert Barbaro,800-686-2404,SO CAL INSPECTORS,SUZANNE PHILLIPS,9525   Stewart and Gray RD  Downey CA 90241,877-242-2149,-118.20006,34.0526,POINT (-118.20006 34.0526)
2244011024,01/19/2021 12:00:00 AM,Single Family,5857 N WILLIS AVE,VAN NUYS,CA,91411,4,HMC Assets,HMC Assets,310-535-9293,Compass,David Berg,11740   SAN VICENTE BLVD  Los Angeles CA 90049,310-699-6151,-118.45546,34.17736,POINT (-118.45546 34.17736)
2076006031,04/09/2021 12:00:00 AM,Single Family,22412 W SENTAR ROAD,LOS ANGELES,CA,91364,3,Helene Muddiman,Helene Muddiman,310-430-8570,Helene Muddiman,Helene Muddiman,16659   Addison  St Encino CA 91436,310-430-8570,-118.61529,34.15808,POINT (-118.61529 34.15808)
2332002010,01/05/2021 12:00:00 AM,Single Family,12818 W FRIAR ST,LOS ANGELES,CA,91606,2,Fay Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.41247,34.18554,POINT (-118.41247 34.18554)
2162006081,01/21/2021 12:00:00 AM,Single Family,5135 N ZELZAH AVE,ENCINO,CA,91316,5,"So-Cal Capital, Inc.",Jackie Lacy,949-521-7116,C&H Trust Deed Service,Coby Halavais,1   1 Orchard Rd.  110 Lake Forest CA 92679,949-305-8901,-118.52222,34.16486,POINT (-118.52222 34.16486)
2325018033,01/21/2021 12:00:00 AM,Single Family,12535 W VICTORY BLVD,LOS ANGELES,CA,91606,2,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.40656,34.18696,POINT (-118.40656 34.18696)
2624011018,11/09/2021 12:00:00 AM,Single Family,12864 W CORRENTI ST,LOS ANGELES,CA,91331,7,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Guardian Asset Management,Vendor Management,2021   Hartel ST  Leviitown PA 19057,888-872-9094,-118.41294,34.24887,POINT (-118.41294 34.24887)
2570007024,01/04/2021 12:00:00 AM,Single Family,10039 N FRANCE AVE,LOS ANGELES,CA,91042,7,PennyMac Loan Services,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.27831,34.25078,POINT (-118.27831 34.25078)
2335001020,01/07/2021 12:00:00 AM,Single Family,6545 N TUJUNGA AVE,LOS ANGELES,CA,91606,2,JP Morgan Chase NA,Amy Lott,888-310-1506,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.37921,34.1898,POINT (-118.37921 34.1898)
6006026009,01/09/2021 12:00:00 AM,Single Family,424 E 60TH ST,LOS ANGELES,CA,90003,9,PHH Mortgage/Ocwen Financial Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.26657,33.98507,POINT (-118.26657 33.98507)
2227005030,01/08/2021 12:00:00 AM,Single Family,17043 W SHERMAN WAY,LOS ANGELES,CA,91406,6,Village Capital & Investment,Property Preservation,847-550-7410,"Safeguard Properties Management, LLC",Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.50475,34.20137,POINT (-118.50475 34.20137)
2662022006,02/03/2021 12:00:00 AM,Single Family,10828 N AQUEDUCT AVE,LOS ANGELES,CA,91344,12,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.47385,34.26732,POINT (-118.47385 34.26732)
2022008002,01/30/2021 12:00:00 AM,Single Family,22738 W SATICOY ST,LOS ANGELES,CA,91307,12,Mr. Cooper,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,844-488-7447,-118.62259,34.20809,POINT (-118.62259 34.20809)
5071004004,03/23/2021 12:00:00 AM,Single Family,1621 S VICTORIA AVE,LOS ANGELES,CA,90019,10,Champion Mortgage,Tina Simmons,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.33013,34.04439,POINT (-118.33013 34.04439)
2128022016,01/06/2021 12:00:00 AM,Single Family,19114 W JOVAN ST,LOS ANGELES,CA,91335,3,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Torres Rose,11030   Arrow RE  RANCHO CUCAMONGA CA 91730,909-481-1100,-118.54917,34.18317,POINT (-118.54917 34.18317)
6083003015,02/17/2021 12:00:00 AM,Multi-Family,216 E LANZIT AVE,LOS ANGELES,CA,90061,15,PHH Mortgage/Ocwen Financial Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.27155,33.92995,POINT (-118.27155 33.92995)
2146040091,01/01/2021 12:00:00 AM,Single Family,5500 N OWENSMOUTH AVE,WOODLAND HILLS,CA,91367,3,federal home loan mortgage corporation,n/a n/a,800-373-3343,Freddie Mac,n/a n/a,8100   Jones Branch DR  McLean VA 22102,800-373-3343,-118.60166,34.17182,POINT (-118.60166 34.17182)
2682001006,11/18/2021 12:00:00 AM,Single Family,11421 N GERALD AVE,LOS ANGELES,CA,91344,12,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.49465,34.27805,POINT (-118.49465 34.27805)
7559039007,01/26/2021 12:00:00 AM,Single Family,324 S MIRALESTE DR,SAN PEDRO,CA,99999,15,Freedom Mortgage,Shannon Powell,317-537-3714,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.31676,33.74111,POINT (-118.31676 33.74111)
2633029006,06/22/2021 12:00:00 AM,Single Family,11800 W PENDLETON ST,LOS ANGELES,CA,91352,6,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Torres Rose,11030   Arrow RE  RANCHOCUCAMONGA CA 91730,949-381-3495,-118.39026,34.22583,POINT (-118.39026 34.22583)
2027029029,11/09/2021 12:00:00 AM,Single Family,7712 N MARLBOROUGH CT,LOS ANGELES,CA,91304,12,Fay Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.64069,34.2104,POINT (-118.64069 34.2104)
5018014004,01/14/2021 12:00:00 AM,Single Family,947 W 50TH ST,LOS ANGELES,CA,90037,9,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,-118.29076,33.99797,POINT (-118.29076 33.99797)
6069026050,10/14/2021 12:00:00 AM,Multi-Family,1730 1/2 E 114TH ST,LOS ANGELES,CA,90059,15,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,844-488-7447,-118.24245,33.93101,POINT (-118.24245 33.93101)
6030014004,03/04/2021 12:00:00 AM,Single Family,218 E 84TH ST,LOS ANGELES,CA,90003,9,"The Cavallino Fund, LLC",Brian Cooke,408-332-5816,Hamilton Ridge Capital,B Richard Cooke,238  N Cedros AVE  Solana Beach CA 92075,408-332-5816,-118.2712,33.96272,POINT (-118.2712 33.96272)
5404010030,11/08/2021 12:00:00 AM,Multi-Family,1717 W BELLEVUE AVE,LOS ANGELES,CA,90026,13,SUNWEST MORTGAGE,CELESTINE LEWIS,800-453-7884,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.2628,34.07145,POINT (-118.2628 34.07145)
2106029012,09/08/2021 12:00:00 AM,Single Family,19732 W ARMINTA ST,LOS ANGELES,CA,91306,3,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.56345,34.21307,POINT (-118.56345 34.21307)
5108012011,01/06/2021 12:00:00 AM,Single Family,693 E 51ST ST,LOS ANGELES,CA,90011,9,SN Servicing Corp,Eric Moore,877-338-3791,First Allegiance,John Concepcion,473   Broadway 5th Fl AVE  Bayonne NJ 7002,201-746-8715,-118.26307,33.99671,POINT (-118.26307 33.99671)
2763021053,01/13/2021 12:00:00 AM,Single Family,9111 N CREBS AVE,LOS ANGELES,CA,91324,12,CALIBER HOME LOANS,SHIRIN SHIHADI,214-874-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.5442,34.23594,POINT (-118.5442 34.23594)
2366012023,01/28/2021 12:00:00 AM,Single Family,4307 N BAKMAN AVE,LOS ANGELES,CA,91602,2,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.37802,34.14796,POINT (-118.37802 34.14796)
6042008021,01/06/2021 12:00:00 AM,Single Family,633 E 89TH ST,LOS ANGELES,CA,90002,9,US Bank as Trustee of the LSF9 Master Participation Trust,Ryan Curran,800-516-1553,Northsight Management - AMR,Ryan Curran,16820   Ventura BLVD  Ventura CA 91436,800-516-1553,-118.26399,33.95569,POINT (-118.26399 33.95569)
2177005034,05/23/2021 12:00:00 AM,Single Family,4351 N LA BARCA DR,LOS ANGELES,CA,91356,3,Tom Block,Tom Block,818-597-0842,TNT Management,Tom Block,5158   Clarenton DR 364 Agoura Hills CA 91301,818-597-0842,-118.55202,34.14943,POINT (-118.55202 34.14943)
2701052058,01/15/2021 12:00:00 AM,Single Family,20628 W COMO LANE,LOS ANGELES,CA,91326,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.58271,34.27772,POINT (-118.58271 34.27772)
2514018011,01/04/2021 12:00:00 AM,Single Family,13023 W CORCORAN ST,LOS ANGELES,CA,91340,7,PennyMac Loan Services,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.41698,34.2885,POINT (-118.41698 34.2885)
2378001018,01/13/2021 12:00:00 AM,Single Family,3751 N LANKERSHIM BLVD,LOS ANGELES,CA,90068,4,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.36464,34.13663,POINT (-118.36464 34.13663)
4236007027,01/21/2021 12:00:00 AM,Single Family,2478 S GLYNDON AVE,LOS ANGELES,CA,90291,11,Allstar Financial Services Inc,Sumana Sur,818-346-7827,NULL,NULL,,NULL,-118.4476,33.99395,POINT (-118.4476 33.99395)
2203021030,01/01/2021 12:00:00 AM,Single Family,7525 N AMESTOY AVE,LOS ANGELES,CA,91406,6,RUSHMORE LOAN MANAGEMENT SERVICES,Property Preservation,949-341-5601,Safeguard Properties,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.506,34.20729,POINT (-118.506 34.20729)
6014018021,01/11/2021 12:00:00 AM,Single Family,1215 W 68TH ST,LOS ANGELES,CA,90044,8,NATIONS DIRECT MORTGAGE,Property Preservation,800-669-0340,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.29638,33.97794,POINT (-118.29638 33.97794)
5458011003,01/13/2021 12:00:00 AM,Single Family,3022 W AVENUE 32,LOS ANGELES,CA,90065,13,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.2424,34.11518,POINT (-118.2424 34.11518)
2163007008,11/23/2021 12:00:00 AM,Single Family,5117 N TAMPA AVE,LOS ANGELES,CA,91356,3,U.S. Bank N.A.,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.55418,34.16416,POINT (-118.55418 34.16416)
2280021025,01/05/2021 12:00:00 AM,Single Family,16137 W MEADOWCREST RD,LOS ANGELES,CA,91403,5,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,Safeguard Properties,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.4852,34.13594,POINT (-118.4852 34.13594)
5067020018,04/29/2021 12:00:00 AM,Single Family,1882 S COCHRAN AVE,LOS ANGELES,CA,90019,10,Gregory Funding LLC,Gregory Funding LLC,866-712-5698,Bron Inc - Amy Lee,Amy Lee,24210   Dandelion CT  Lake Elsinore CA 92532,877-338-3791,-118.35452,34.04209,POINT (-118.35452 34.04209)
2047008002,01/19/2021 12:00:00 AM,Single Family,23848 W KILLION ST,LOS ANGELES,CA,91367,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.64658,34.1688,POINT (-118.64658 34.1688)
6037019012,01/22/2021 12:00:00 AM,Single Family,1412 W 89TH ST,LOS ANGELES,CA,90047,8,NEW AMERICAN FUNDING,KARLA HOWES,949-445-8824,SO CAL INSPECTORS INC,SUZANNE PHILLIPS,9525   Stewart and Gray RD  Downey CA 90241,949-445-8824,-118.30086,33.95654,POINT (-118.30086 33.95654)
2560016017,02/18/2021 12:00:00 AM,Single Family,10315 N WESCOTT AVE,LOS ANGELES,CA,91040,7,Mr. Cooper,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.31764,34.25667,POINT (-118.31764 34.25667)
6051016023,01/06/2021 12:00:00 AM,Single Family,930 E 106TH ST,LOS ANGELES,CA,90002,8,Carrington Mortgage Services,code compliance,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.25763,33.94,POINT (-118.25763 33.94)
2723015059,02/17/2021 12:00:00 AM,Single Family,10633 N NEVADA AVE,LOS ANGELES,CA,91311,12,PHH Mortgage/Ocwen Financial Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.60958,34.26332,POINT (-118.60958 34.26332)
2706032027,01/30/2021 12:00:00 AM,Single Family,21216 W NASHVILLE ST,LOS ANGELES,CA,91311,12,Mr. Cooper,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.59508,34.26891,POINT (-118.59508 34.26891)
5312027002,01/23/2021 12:00:00 AM,Single Family,6120 N MONTEREY RD,LOS ANGELES,CA,90042,14,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,27071   cabot RD  LAGUNA HILLS CA 92653,949-612-0342,-118.18301,34.10698,POINT (-118.18301 34.10698)
2337034016,01/29/2021 12:00:00 AM,Multi-Family,5617 1/2 N KLUMP AVE,LOS ANGELES,CA,91601,2,"Iridium, LLC, a California Limited Liability Company",Anatoly Doktorovich,310-994-0949,NULL,NULL,,NULL,-118.37534,34.17274,POINT (-118.37534 34.17274)
2108030010,08/18/2021 12:00:00 AM,Single Family,20855 W BALTAR ST,LOS ANGELES,CA,93063,3,Reverse Mortgage Solutions,Shelly Martinez,281-404-7962,Guardian Asset Management,Gina Butler,2021   Hartel AVE  Levittown PA 19057,888-872-9094,-118.58824,34.21674,POINT (-118.58824 34.21674)
2263024019,01/21/2021 12:00:00 AM,Multi-Family,14605 W LA MAIDA ST,LOS ANGELES,CA,91403,4,US Bank National Association,Carrie Bratcher,800-365-7772,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.45126,34.15879,POINT (-118.45126 34.15879)
5001021015,01/28/2021 12:00:00 AM,Multi-Family,609 1/2 W 56TH ST,LOS ANGELES,CA,90037,9,"Ajax Mortgage Loan Trust 2018-G, Mortgage-Backed Securities, Series 2018-G, by U.S. Bank National As",Marcus Brown,503-444-4186,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.28456,33.99157,POINT (-118.28456 33.99157)
6048040022,06/30/2021 12:00:00 AM,Multi-Family,9208 S BANDERA ST,LOS ANGELES,CA,90002,15,"PEAK FORECLOSURE SERVICES, INC.",Kelli Espinoza,818-591-9237,NULL,NULL,,NULL,-118.23952,33.95307,POINT (-118.23952 33.95307)
6031027012,01/21/2021 12:00:00 AM,Single Family,323 W 81ST ST,LOS ANGELES,CA,90003,9,Aztec Financial,Chloe Allton,818-848-8960,Aztec Financial,Chloe Allton,2624  W MAGNOLIA  BLVD  BURBANK CA 91505,818-848-8960,-118.27918,33.96606,POINT (-118.27918 33.96606)
5040004016,12/29/2021 12:00:00 AM,Single Family,1348 W 35TH ST,LOS ANGELES,CA,90007,8,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.29895,34.02449,POINT (-118.29895 34.02449)
2607007002,02/09/2021 12:00:00 AM,Single Family,11532 N CURRY AVE,LOS ANGELES,CA,91344,12,Cenlar FSB,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.50905,34.2804,POINT (-118.50905 34.2804)
5539019006,01/06/2021 12:00:00 AM,Single Family,711 N HOOVER ST,LOS ANGELES,CA,90029,13,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,-118.28459,34.08399,POINT (-118.28459 34.08399)
5135016009,01/09/2021 12:00:00 AM,Multi-Family,1125 W 18TH ST,LOS ANGELES,CA,90015,1,PHH Mortgage/Ocwen Financial Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.28116,34.04001,POINT (-118.28116 34.04001)
